juni	June
højt	aloud/ out loud/ tall
se	watch/ see/ look
grønt	green
stor	big
hund	dog
høj	tall
gammel	old
kat	cat
han	he
lærer	teacher
glad	happy
mand	man
hun	she/ her
æ	æ/ ae (unofficial)
klog	smart
kvinde	woman
læge	a doctor/ doctor
øl	beer
drikker	am drinking/ is drinking/ drink
sodavand	soda
nej	no
pizza	pizza
kage	cake
sandwich	sandwich/ sandwiches
stykke	piece
værsgo	here you go/ there you go/ you are welcome
kop	cup
tak	thank you
kaffe	coffee
te	tea
norsk	Norwegian
taler	do speak/ speaks/ are talking
engelsk	English
tysk	German
dansk	Danish
Tyskland	Germany
Sverige	Sweden
eller	or
England	England
hvor	where
bor	live/ does live/ is living
i	in it/ to the/ inside
fra	from
kommer	get/ do come/ is
Danmark	Denmark
Norge	Norway
hvad	what/ whatever/ how
alfred	Alfred (male name)
du hedder	your name is/ you are called
frede	Frede (male name)
hedvig	Hedvig (female name)
hedder	is/ is called/ am called
velkommen	welcome
farvel	goodbye
godnat	good night
godmorgen	good morning
hus	house
et	an/ a/ one
ro	row
barn	child
bror	brother
ø	isle/ island
datter	daughter
søster	sister
far	dad
mor	mom
har	has got/ have there/ are having
en	an/ a/ someone
søn	son
ja	yes
du	you/ your
og	to/ and/ while
hej	hello/ bye/ hi
henrik	Henrik (male name)
jeg	I
er	have/ have been/ am
ida	Ida (female name)
